date, pm25, pm10, no2, so2, co
2020/4/2, 15, 6, 3, , 2
2020/4/3, 12, 7, 4, , 2
2020/4/4, 15, 6, 2, , 2
2020/4/5, 14, 6, 3, , 2
2020/4/6, 13, 6, 4, , 2
2020/4/7, 10, , , , 
2020/3/2, 31, 68, 3, , 
2020/3/3, 15, 12, 4, , 2
2020/3/4, 13, 12, 7, , 3
2020/3/5, 13, 13, 7, 1, 3
2020/3/6, 15, 10, 3, , 2
2020/3/7, 19, 12, 2, 1, 2
2020/3/8, 17, 14, 1, , 2
2020/3/9, 17, 13, 2, , 2
2020/3/10, 10, 14, 3, , 2
2020/3/11, 11, 10, 7, , 2
2020/3/12, 11, 5, 5, , 2
2020/3/13, 10, 7, 5, , 2
2020/3/14, 14, 10, 2, , 2
2020/3/15, 10, 4, 1, , 2
2020/3/16, 7, 13, 2, , 2
2020/3/17, 18, 8, 4, , 2
2020/3/18, 12, 8, 5, , 2
2020/3/19, 14, 7, 4, , 2
2020/3/20, 19, 10, 2, , 2
2020/3/21, 20, 9, 3, , 2
2020/3/22, 18, 11, 2, , 2
2020/3/23, 13, 17, 1, , 2
2020/3/24, 28, 13, 1, , 1
2020/3/25, 18, 14, 1, , 2
2020/3/26, 26, 13, 1, , 1
2020/3/27, 21, 10, 2, , 2
2020/3/28, 17, 11, 1, , 2
2020/3/29, 19, 9, 1, , 2
2020/3/30, 18, 14, 1, , 2
2020/3/31, 25, 12, 2, , 2
2020/4/1, 18, 9, 2, , 2
2020/2/2, 19, , 2, , 
2020/2/3, 11, 28, 4, 1, 
2020/2/4, 17, 16, 6, , 
2020/2/5, 17, 12, 8, , 1
2020/2/6, 19, 10, 4, , 
2020/2/7, 18, 15, 6, 2, 
2020/2/8, 22, 15, 4, 2, 
2020/2/9, 21, 20, 5, 5, 
2020/2/10, 25, 16, 4, 2, 
2020/2/11, 21, 15, 4, 2, 
2020/2/12, 17, 13, 5, , 
2020/2/13, 10, 14, 3, , 
2020/2/14, 22, 19, 3, , 
2020/2/15, 24, 17, 2, , 
2020/2/16, 23, 13, 1, 1, 
2020/2/17, 17, 11, 2, , 
2020/2/18, 11, 13, 3, , 
2020/2/19, 16, 14, 2, , 
2020/2/20, 19, 12, 2, , 
2020/2/21, 20, 11, 3, , 
2020/2/22, 19, 14, 3, , 
2020/2/23, 15, 14, 5, 4, 
2020/2/24, 18, 10, 5, 2, 
2020/2/25, 13, 9, 2, , 
2020/2/26, 12, 14, 2, 1, 
2020/2/27, 16, 16, 2, , 
2020/2/28, 22, 14, 3, , 
2020/2/29, 21, 16, 1, , 
2020/3/1, 27, 20, 1, , 
2020/1/2, 45, 8, 5, , 1
2020/1/3, 12, 10, 2, , 
2020/1/4, 16, 9, 2, , 1
2020/1/5, 8, 13, 2, , 
2020/1/6, 20, 14, 3, , 
2020/1/7, 21, 16, 3, , 
2020/1/8, 17, 15, 2, , 
2020/1/9, 24, 16, 2, , 
2020/1/10, 28, 14, 3, , 
2020/1/11, 20, 9, 3, , 
2020/1/12, 19, 9, 3, , 1
2020/1/13, 19, 16, 2, , 
2020/1/14, 31, 18, 4, 1, 
2020/1/15, 23, 16, 4, 2, 1
2020/1/16, 20, 16, 7, 2, 1
2020/1/17, 18, 14, 3, 2, 
2020/1/18, 20, 14, 2, 2, 
2020/1/19, 17, 12, 2, 2, 
2020/1/20, 21, 12, 3, 2, 
2020/1/21, 18, 18, 6, 2, 1
2020/1/22, 26, 14, 10, 2, 1
2020/1/23, 21, 13, 9, , 1
2020/1/24, 15, 11, 8, 4, 1
2020/1/25, 17, 8, 4, 2, 
2020/1/26, 16, 9, 4, 2, 
2020/1/27, 13, 14, 5, 2, 
2020/1/28, 16, 17, 9, 1, 1
2020/1/29, 20, 13, 6, 2, 1
2020/1/30, 14, 14, 10, 3, 1
2020/1/31, 17, 6, 6, 1, 
2020/2/1, 17, , 3, , 
2019/10/2, 12, 10, 3, , 1
2019/10/3, 11, 11, 3, , 
2019/10/4, 14, 12, 3, , 
2019/10/5, 13, 8, 2, , 
2019/10/6, 7, 9, 3, , 
2019/10/7, 13, 9, 4, 2, 1
2019/10/8, 17, 8, 3, , 1
2019/10/9, 7, 7, 5, 1, 2
2019/10/10, 9, 7, 3, , 2
2019/10/11, 11, 10, 4, , 2
2019/10/12, 11, 15, 2, , 2
2019/10/13, 15, 10, 3, , 2
2019/10/14, 11, 17, 3, , 2
2019/10/15, 13, 10, 2, 1, 2
2019/10/16, 11, 11, 4, 2, 2
2019/10/17, 10, 11, 4, 2, 2
2019/10/18, 10, 12, 3, 3, 2
2019/10/19, 8, 13, 2, 2, 2
2019/10/20, 11, 11, 4, 2, 2
2019/10/21, 11, 15, 4, 2, 2
2019/10/22, 16, 17, 3, 2, 2
2019/10/23, 17, 15, 3, 2, 2
2019/10/24, 14, 14, 4, 2, 2
2019/10/25, 17, 12, 5, 2, 2
2019/10/26, 13, 11, 4, 2, 2
2019/10/27, 15, 8, 3, 1, 1
2019/10/28, 10, 13, 3, 1, 1
2019/10/29, 16, 8, 5, , 2
2019/10/30, 13, 8, 7, , 2
2019/10/31, 13, 8, 7, , 2
2019/11/1, 13, 7, 5, , 2
2019/11/2, 9, 6, 5, , 2
2019/11/3, 12, 5, 4, 1, 1
2019/11/4, 9, 6, 6, , 2
2019/11/5, 9, 14, 7, , 2
2019/11/6, 12, 13, 3, , 1
2019/11/7, 9, 11, 3, , 1
2019/11/8, 8, 10, 7, , 2
2019/11/9, 12, 10, 9, 2, 2
2019/11/10, 13, 11, 4, 2, 1
2019/11/11, 14, 9, 5, 2, 2
2019/11/12, 15, 9, 5, 1, 1
2019/11/13, 12, 10, 6, , 1
2019/11/14, 9, 12, 7, , 2
2019/11/15, 11, 11, 6, , 2
2019/11/16, 8, 11, 6, , 2
2019/11/17, 15, 10, 3, , 1
2019/11/18, 10, 13, 4, , 1
2019/11/19, 10, 16, 5, , 1
2019/11/20, 11, 15, 4, , 1
2019/11/21, 9, 13, 3, , 1
2019/11/22, 15, 18, 2, , 1
2019/11/23, 15, 15, 3, , 1
2019/11/24, 19, 17, 3, , 1
2019/11/25, 17, 17, 3, , 1
2019/11/26, 11, 21, 5, , 1
2019/11/27, 18, 18, 2, , 1
2019/11/28, 17, 16, 2, , 1
2019/11/29, 17, 13, 2, , 1
2019/11/30, 15, 14, 2, , 1
2019/12/1, 12, 9, 1, , 1
2019/12/2, 11, 7, 3, 1, 1
2019/12/3, 9, 10, 3, , 1
2019/12/4, 9, 9, 4, , 1
2019/12/5, 8, 9, 3, 1, 1
2019/12/6, 9, 10, 5, , 1
2019/12/7, 7, 9, 5, , 1
2019/12/8, 10, 9, 5, , 1
2019/12/9, 12, 12, 7, , 2
2019/12/10, 11, 12, 10, 1, 1
2019/12/11, 9, 13, 9, 1, 1
2019/12/12, 13, 13, 8, 2, 1
2019/12/13, 17, 13, 4, 2, 1
2019/12/14, 13, 12, 3, 1, 1
2019/12/15, 10, 11, 2, , 1
2019/12/16, 10, 10, 2, , 1
2019/12/17, 13, 15, 2, 1, 
2019/12/18, 11, 17, 4, , 
2019/12/19, 14, 13, 3, 1, 
2019/12/20, 14, 11, 3, , 
2019/12/21, 16, 14, 2, , 1
2019/12/22, 24, 16, 2, 1, 1
2019/12/23, 20, 20, 5, 2, 1
2019/12/24, 18, 21, 2, , 1
2019/12/25, 26, 18, 5, , 1
2019/12/26, 25, 8, 8, 1, 1
2019/12/27, 14, 10, 2, , 1
2019/12/28, 8, 10, 3, , 1
2019/12/29, 10, 14, 3, , 1
2019/12/30, 18, , , , 
2019/7/2, 11, 8, 3, 1, 
2019/7/3, 14, 7, 4, , 
2019/7/4, 11, 6, 3, , 
2019/7/5, 12, 5, 3, , 
2019/7/6, 11, 7, 3, 2, 
2019/7/7, 13, 10, 2, 2, 
2019/7/8, 14, 8, 3, 2, 
2019/7/9, 17, 8, 3, 3, 
2019/7/10, 13, 9, 3, 2, 
2019/7/11, 13, 11, 3, 2, 
2019/7/12, 15, 10, 3, 2, 
2019/7/13, 17, 7, 3, 2, 
2019/7/14, 9, 8, 2, 2, 
2019/7/15, 10, 3, 2, 2, 
2019/7/16, 8, 9, 3, 2, 2
2019/7/17, 14, 14, 4, 2, 2
2019/7/18, 15, 18, 3, 2, 2
2019/7/19, 18, 10, 3, 2, 2
2019/7/20, 19, 9, 2, 2, 2
2019/7/21, 15, 9, 2, 2, 2
2019/7/22, 14, 12, 3, 2, 2
2019/7/23, 13, 20, 4, 2, 2
2019/7/24, 16, 20, 3, 2, 2
2019/7/25, 21, 15, 3, 1, 2
2019/7/26, 14, 11, 2, , 2
2019/7/27, 13, 11, 2, 1, 2
2019/7/28, 12, 11, 1, 2, 1
2019/7/29, 12, 11, 3, , 2
2019/7/30, 12, 11, 2, , 1
2019/7/31, 11, 12, 2, , 1
2019/8/1, 11, 11, 2, , 1
2019/8/2, 12, 12, 2, , 2
2019/8/3, 19, 11, 2, , 2
2019/8/4, 19, 7, 3, , 1
2019/8/5, 16, 7, 3, , 1
2019/8/6, 10, 7, 5, , 2
2019/8/7, 13, 9, 3, , 2
2019/8/8, 18, 12, 6, 2, 2
2019/8/9, 19, 8, 4, 2, 2
2019/8/10, 15, 9, 3, 1, 1
2019/8/11, 12, 9, 3, 1, 1
2019/8/12, 19, 15, 3, 2, 1
2019/8/13, 12, 12, 4, 2, 1
2019/8/14, 15, 15, 4, 1, 1
2019/8/15, 16, 15, 4, , 1
2019/8/16, 15, 12, 3, , 1
2019/8/17, 12, 12, 3, , 1
2019/8/18, 14, 9, 2, , 1
2019/8/19, 14, 10, 2, 1, 1
2019/8/20, 13, 10, 2, , 1
2019/8/21, 12, 8, 2, , 1
2019/8/22, 8, 9, 2, , 1
2019/8/23, 8, 6, 3, 1, 1
2019/8/24, 10, 11, 4, , 1
2019/8/25, 14, 14, 3, , 1
2019/8/26, 17, 9, 3, , 1
2019/8/27, 15, 7, 2, , 1
2019/8/28, 9, 6, 3, , 1
2019/8/29, 11, 6, 4, , 1
2019/8/30, 11, 9, 3, , 1
2019/8/31, 9, 7, 2, , 1
2019/9/1, 10, 3, 1, , 1
2019/9/2, 10, 9, 1, , 1
2019/9/3, 11, 11, 3, , 1
2019/9/4, 15, 10, 3, , 1
2019/9/5, 14, 13, 3, , 1
2019/9/6, 17, 16, 3, , 1
2019/9/7, 18, 20, 2, , 1
2019/9/8, 19, 16, 3, 1, 1
2019/9/9, 19, 18, 3, , 1
2019/9/10, 20, 14, 3, 1, 1
2019/9/11, 14, 11, 2, 1, 1
2019/9/12, 14, 10, 2, 1, 1
2019/9/13, 11, 6, 5, 2, 1
2019/9/14, 14, 5, 3, 2, 1
2019/9/15, 17, 8, 4, 2, 1
2019/9/16, 14, 8, 3, , 1
2019/9/17, 12, 11, 4, , 1
2019/9/18, 15, 10, 3, , 1
2019/9/19, 13, 9, 3, , 1
2019/9/20, 10, 12, 3, , 1
2019/9/21, 10, 11, 2, , 1
2019/9/22, 12, 9, 3, 1, 1
2019/9/23, 12, 6, 4, , 1
2019/9/24, 8, 14, 5, 1, 1
2019/9/25, 12, 6, 6, 1, 1
2019/9/26, 12, 8, 5, 1, 1
2019/9/27, 13, 8, 5, 1, 1
2019/9/28, 12, 7, 2, , 1
2019/9/29, 10, 10, 3, , 
2019/9/30, 11, 6, 3, , 
2019/10/1, 8, 12, 2, , 
2019/4/2, 8, 16, 3, 1, 1
2019/4/3, 13, 15, 4, 2, 1
2019/4/4, 14, 16, 3, 1, 1
2019/4/5, 12, 17, 6, 1, 1
2019/4/6, 9, 12, 6, 1, 1
2019/4/7, 9, 10, 2, , 1
2019/4/8, 10, 11, 2, 1, 1
2019/4/9, 9, 10, 2, 2, 1
2019/4/10, 5, 15, 3, 2, 2
2019/4/11, 6, 18, 2, 2, 2
2019/4/12, 12, 17, 2, 2, 2
2019/4/13, 18, 21, 2, 2, 2
2019/4/14, 21, 20, 1, 2, 1
2019/4/15, 20, 13, 2, , 2
2019/4/16, 7, 12, 4, , 2
2019/4/17, 6, 6, 3, , 2
2019/4/18, 5, 9, 3, , 2
2019/4/19, 6, 10, 3, , 1
2019/4/20, 7, 12, 3, , 1
2019/4/21, 8, 9, 2, , 1
2019/4/22, 7, 12, 3, , 2
2019/4/23, 9, 15, 4, 1, 2
2019/4/24, 11, 16, 3, , 1
2019/4/25, 11, 7, 2, , 1
2019/4/26, 5, 6, 3, , 1
2019/4/27, 7, 5, 5, , 1
2019/4/28, 9, 4, 7, , 1
2019/4/29, 8, 5, 5, , 2
2019/4/30, 12, 5, 3, , 1
2019/5/1, 7, 6, 3, , 1
2019/5/2, 5, 6, 3, , 1
2019/5/3, 5, 5, 7, , 1
2019/5/4, 7, 8, 3, 1, 1
2019/5/5, 9, 10, 3, 1, 1
2019/5/6, 9, 11, 4, 1, 1
2019/5/7, 7, 4, 5, , 1
2019/5/9, 5, 3, 6, , 1
2019/5/21, 19, 12, 6, 1, 1
2019/5/22, 20, 15, 4, 1, 1
2019/5/23, 18, 12, 5, , 1
2019/5/24, 18, 10, 4, , 1
2019/5/25, 18, 10, 2, , 
2019/5/26, 17, 10, 2, , 
2019/5/27, 16, 9, 2, , 
2019/5/28, 11, 8, 5, , 1
2019/5/29, 16, 9, 3, , 1
2019/5/30, 13, 10, 3, , 
2019/5/31, 12, 11, 3, , 
2019/6/1, 18, 10, 2, , 
2019/6/2, 12, 10, 2, , 
2019/6/3, 17, 14, 3, 1, 
2019/6/4, 13, 7, 3, 1, 
2019/6/5, 13, 13, 3, , 
2019/6/6, 18, 11, 3, , 
2019/6/7, 19, 9, 3, 2, 
2019/6/8, 16, 9, 2, 2, 
2019/6/9, 12, 10, 3, , 
2019/6/10, 17, 9, 4, , 
2019/6/11, 16, 10, 2, , 
2019/6/12, 15, 11, 3, 1, 
2019/6/13, 13, 10, 3, 1, 
2019/6/14, 13, 9, 3, , 
2019/6/15, 12, 10, 2, 1, 1
2019/6/16, 10, 10, 2, 1, 
2019/6/17, 13, 9, 3, , 1
2019/6/18, 12, 10, 3, , 1
2019/6/19, 19, 11, 3, , 1
2019/6/20, 19, 7, 3, , 1
2019/6/21, 12, 5, 3, 1, 
2019/6/22, 13, 4, 4, 1, 
2019/6/23, 11, 9, 2, 2, 
2019/6/24, 16, 5, 3, 2, 
2019/6/25, 18, 5, 4, 1, 
2019/6/26, 11, 4, 3, 1, 
2019/6/27, 11, 11, 2, 1, 
2019/6/28, 16, 7, 3, 1, 
2019/6/29, 22, 7, 3, 2, 
2019/6/30, 16, 6, 2, 2, 
2019/7/1, 8, 7, 4, 2, 
2019/1/2, 19, 19, 3, , 
2019/1/3, 12, 17, 3, 1, 
2019/1/4, 10, 16, 2, , 
2019/1/5, 11, 17, 2, , 
2019/1/6, 11, 14, 4, 7, 
2019/1/7, 14, 16, 7, , 1
2019/1/8, 11, 12, 6, , 
2019/1/9, 6, 11, 6, , 1
2019/1/10, 11, 10, 7, 1, 
2019/1/11, 9, 12, 9, 1, 1
2019/1/12, 9, 10, 5, 1, 
2019/1/13, 10, 10, 3, , 
2019/1/14, 11, 14, 7, 1, 1
2019/1/15, 11, 16, 9, 2, 1
2019/1/16, 13, 20, 9, 1, 2
2019/1/17, 20, 18, 5, 1, 
2019/1/18, 10, 26, 3, , 
2019/1/19, 12, 34, 3, , 
2019/1/20, 11, 14, 4, , 
2019/1/21, 11, 19, 7, , 1
2019/1/22, 10, 21, 5, , 
2019/1/23, 13, 20, 7, , 1
2019/1/24, 12, 14, 6, , 1
2019/1/25, 13, 16, 8, 2, 1
2019/1/26, 12, 22, 2, , 
2019/1/27, 19, 16, 1, , 
2019/1/28, 13, 26, 3, , 
2019/1/29, 16, 21, 2, , 
2019/1/30, 16, 12, 2, , 
2019/1/31, 15, 11, 2, , 
2019/2/1, 17, 5, 3, , 
2019/2/2, 8, 8, 2, , 
2019/2/3, 7, 7, 1, , 
2019/2/4, 9, 6, 2, 1, 
2019/2/5, 6, 10, 7, 1, 
2019/2/6, 10, 7, 7, 1, 1
2019/2/7, 10, 7, 8, , 
2019/2/8, 10, 15, 4, 1, 
2019/2/9, 14, 25, 6, 7, 
2019/2/10, 22, 26, 3, 2, 
2019/2/11, 27, 14, 8, 2, 
2019/2/12, 12, 12, 3, 1, 
2019/2/13, 11, 12, 3, , 
2019/2/14, 11, 8, 2, , 
2019/2/15, 9, 13, 3, 1, 
2019/2/16, 10, 14, 2, 1, 
2019/2/17, 12, 13, 1, 2, 
2019/2/18, 10, 10, 3, , 
2019/2/19, 12, 7, 6, , 
2019/2/20, 9, 10, 10, 2, 1
2019/2/21, 11, 11, 8, 2, 1
2019/2/22, 16, 13, 8, 2, 1
2019/2/23, 15, 14, 8, 1, 
2019/2/24, 14, 5, 1, 1, 
2019/2/25, 10, 7, 3, , 
2019/2/26, 9, 8, 2, , 2
2019/2/27, 9, 12, 2, , 2
2019/2/28, 7, 15, 3, , 2
2019/3/1, 13, 7, 4, , 2
2019/3/2, 17, 3, 3, , 2
2019/3/4, 13, 8, 2, , 2
2019/3/5, 9, 9, 2, , 2
2019/3/7, 7, 7, 3, , 2
2019/3/8, 5, 10, 2, , 2
2019/3/9, 5, 9, 1, , 2
2019/3/10, 5, 12, 1, , 2
2019/3/11, 9, 31, 3, 1, 2
2019/3/12, 42, 11, 2, , 2
2019/3/13, 13, 6, 2, , 2
2019/3/14, 9, 8, 3, , 2
2019/3/15, 5, 10, 3, , 2
2019/3/16, 8, 9, 6, 2, 2
2019/3/18, 19, 14, 3, , 2
2019/3/19, 7, 14, 4, , 2
2019/3/20, 7, 13, 8, , 2
2019/3/21, 13, 9, 3, 1, 2
2019/3/22, 9, 6, 3, 1, 1
2019/3/23, 5, 9, 2, , 1
2019/3/24, 5, 8, 2, , 1
2019/3/25, 7, 12, 2, , 2
2019/3/26, 9, 13, 2, , 1
2019/3/27, 12, 10, 4, , 2
2019/3/28, 7, 7, 6, 1, 2
2019/3/29, 7, 10, 5, 1, 1
2019/3/30, 6, 17, 2, 1, 1
2019/3/31, 11, 8, 4, 1, 1
2019/4/1, 9, 13, 4, 1, 1
2018/10/2, 5, 10, 4, 1, 
2018/10/3, 9, 10, 3, 1, 
2018/10/5, 8, 7, 5, 1, 
2018/10/6, 8, 10, 3, , 
2018/10/7, 11, 6, 3, 1, 
2018/10/8, 9, 15, 3, 1, 
2018/10/9, 8, 10, 2, 1, 
2018/10/10, 10, 11, 2, 1, 
2018/10/11, 6, 12, 2, , 
2018/10/12, 7, 7, 4, , 2
2018/10/13, 10, 7, 6, 1, 2
2018/10/14, 10, 9, 5, 3, 2
2018/10/15, 13, 8, 2, 1, 2
2018/10/16, 9, 8, 2, 1, 2
2018/10/17, 9, 11, 3, 1, 2
2018/10/18, 5, 9, 3, 2, 2
2018/10/19, 7, 10, 4, 1, 2
2018/10/20, 7, 7, 1, , 2
2018/10/21, 6, 9, 1, 1, 2
2018/10/22, 5, 10, 2, , 2
2018/10/23, 13, 13, 2, , 2
2018/10/24, 9, 12, 3, , 2
2018/10/25, 7, 17, 2, , 2
2018/10/26, 6, 10, 2, , 2
2018/10/27, 5, 12, 2, , 2
2018/10/28, 6, 9, 2, , 2
2018/10/29, 11, 13, 5, , 1
2018/10/30, 11, 5, 4, , 1
2018/10/31, 9, 8, 5, , 1
2018/11/1, 8, 9, 3, , 1
2018/11/2, 5, 11, 3, , 1
2018/11/3, 7, 10, 2, , 1
2018/11/4, 9, 12, 2, , 1
2018/11/5, 10, 10, 2, , 1
2018/11/6, 7, 10, 4, , 1
2018/11/7, 10, 8, 5, , 1
2018/11/8, 14, 7, 5, , 1
2018/11/9, 10, 10, 6, , 1
2018/11/10, 10, 10, 1, , 1
2018/11/11, 13, 7, 1, , 1
2018/11/12, 13, 12, 2, 1, 1
2018/11/13, 11, 10, 3, , 1
2018/11/14, 7, 10, 4, , 1
2018/11/15, 7, 10, 7, 1, 1
2018/11/16, 7, 13, 3, , 1
2018/11/17, 6, 10, 1, , 1
2018/11/18, 10, 8, 1, , 1
2018/11/19, 5, 8, 3, , 1
2018/11/20, 7, 9, 3, , 1
2018/11/21, 7, 11, 4, , 1
2018/11/22, 8, 15, 3, , 1
2018/11/23, 15, 14, 6, 1, 1
2018/11/24, 13, 17, 4, , 1
2018/11/25, 12, 13, 5, 1, 1
2018/11/26, 14, 14, 6, 1, 1
2018/11/27, 11, 13, 3, 2, 1
2018/11/28, 33, 19, 5, 2, 
2018/11/29, 10, 13, 7, 1, 1
2018/11/30, 11, 11, 5, 2, 1
2018/12/1, 9, 10, 4, 2, 
2018/12/2, 10, 5, 2, 1, 
2018/12/3, 10, 10, 5, 2, 
2018/12/4, 10, 18, 4, 3, 
2018/12/5, 15, 21, 5, 2, 
2018/12/6, 18, 18, 5, 2, 
2018/12/7, 16, 14, 3, , 
2018/12/8, 13, 9, 2, , 
2018/12/9, 11, 12, 1, , 
2018/12/10, 10, 12, 4, , 
2018/12/11, 10, 17, 4, , 
2018/12/12, 13, 25, 5, , 
2018/12/13, 13, 19, 3, , 
2018/12/14, 11, 22, 2, , 
2018/12/15, 6, 9, 2, , 
